studyName,Island,Colony,Site Number,Nest Number,Egg 1 Lay Date,Egg 2 Lay Date,Egg 1 Loss Date,Egg 2 Loss Date,Chick 1 Hatch Date,Chick 2 Hatch Date,Chick 1 Loss Date,Chick 2 Loss Date,Chick 1 Creche Date,Chick 2 Creche Date,Notes
PAL2324,TOR,14,1,1,48,52,,,82,85,,,114,114,
PAL2324,TOR,14,1,2,46,50,,57,83,,,,121,,
PAL2324,TOR,14,1,3,49,53,,,86,88,,111,122,,
PAL2324,TOR,14,1,4,49,53,,,87,88,,,121,121,
PAL2324,TOR,14,1,5,52,55,53,,,89,,,,121,
PAL2324,TOR,14,2,1,47,50,,52,86,,,,116,116,
PAL2324,TOR,14,2,2,48,52,,,83,85,,,117,117,
PAL2324,TOR,14,2,3,48,57,52,,,90,,,,115,
PAL2324,TOR,14,2,4,53,56,,,89,90,,,114,114,
PAL2324,TOR,14,2,5,54,57,,,87,90,,,114,114,
PAL2324,TOR,14,3,1,49,52,78,59,,,,,,,
PAL2324,TOR,14,3,2,45,48,,,81,82,,,122,122,
PAL2324,TOR,14,3,3,45,47,,999,85,,,,126,,
PAL2324,TOR,14,3,4,56,58,90,77,,,,,,,
PAL2324,TOR,14,3,5,52,55,,,89,90,,,116,116,
PAL2324,TOR,14,4,1,49,53,,,86,86,,,125,125,
PAL2324,TOR,14,4,2,47,50,,78,85,,,,122,,
PAL2324,TOR,14,4,3,47,50,,,82,84,,,119,119,
PAL2324,TOR,14,4,4,48,52,,92,84,,,,122,,
PAL2324,TOR,14,4,5,54,57,,72,88,,,,126,,
PAL2324,TOR,14,5,1,47,50,,,82,83,,,119,119,
PAL2324,TOR,14,5,2,57,,,,90,,,,121,,
PAL2324,TOR,14,5,3,52,54,,,87,87,,,122,122,
PAL2324,TOR,14,5,4,52,55,,999,87,,,,122,,
PAL2324,TOR,14,5,5,45,49,72,72,,,,,,,
PAL2324,TOR,14,6,1,52,55,72,72,,,,,,,
PAL2324,TOR,14,6,2,54,58,,,89,91,,,125,125,
PAL2324,TOR,14,6,3,52,54,,,86,86,,,126,126,
PAL2324,TOR,14,6,4,49,,55,,,,,,,,
PAL2324,TOR,14,6,5,48,52,,78,86,,,,126,,
PAL2324,HUM,2,1,1,42,,,,73,,,,125,,
PAL2324,HUM,2,1,2,54,57,,,88,90,,,120,120,
PAL2324,HUM,2,1,3,56,59,,,90,91,,,120,120,
PAL2324,HUM,2,1,4,52,54,,,87,89,,,119,119,
PAL2324,HUM,2,1,5,56,59,,,92,93,,,119,119,
PAL2324,HUM,2,2,1,47,52,,999,85,,,,126,,
PAL2324,HUM,2,2,2,50,53,,,86,88,,,114,114,
PAL2324,HUM,2,2,3,52,55,,999,89,,,,126,,
PAL2324,HUM,2,2,4,51,54,,,88,88,,,126,126,
PAL2324,HUM,2,2,5,54,57,,999,90,,,,121,,
PAL2324,HUM,2,3,1,46,49,,,84,84,,93,125,,
PAL2324,HUM,2,3,2,51,54,,80,86,,,,126,,
PAL2324,HUM,2,3,3,47,49,999,69,,,,,,,
PAL2324,HUM,2,3,4,45,47,,49,81,,,,126,,
PAL2324,HUM,2,3,5,51,53,,999,86,,,,125,,
PAL2324,HUM,2,4,1,45,48,,999,82,,,,126,,
PAL2324,HUM,2,4,2,45,49,76,76,,,,,,,
PAL2324,HUM,2,4,3,49,52,,,85,85,,92,126,,
PAL2324,HUM,2,4,4,51,54,,,86,87,,,125,125,
PAL2324,HUM,2,4,5,53,56,,,87,89,,,122,122,
PAL2324,HUM,2,5,1,49,52,74,59,,,,,,,
PAL2324,HUM,2,5,2,50,54,,,85,87,,,121,121,
PAL2324,HUM,2,5,3,52,55,,,87,89,,,122,122,
PAL2324,HUM,2,5,4,53,56,,,89,89,,,122,122,
PAL2324,HUM,2,5,5,,,,,,,,,,,
PAL2324,HUM,2,6,1,53,,57,,,,,,,,
PAL2324,HUM,2,6,2,55,58,,,90,91,,,126,126,
PAL2324,HUM,2,6,3,52,56,,,86,87,,,122,122,
PAL2324,HUM,2,6,4,48,51,,,86,86,96,96,,,
PAL2324,HUM,2,6,5,,,,,,,,,,,
